"vdatum","befragte","institut","url","vdatum_char","feldzeit_beginn","feldzeit_ende","datum","datum_char","jahr","partei","stimmanteil","se","lwr","upr","abweichung"
2017-04-03,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","03.04.2017","31.03.","03.04.",2017-04-03,"03.04.2017",2017,"fdp",6.5,NA,NA,NA,0.7
2017-04-03,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","03.04.2017","31.03.","03.04.",2017-04-03,"03.04.2017",2017,"gruene",6.5,NA,NA,NA,-1
2017-04-03,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","03.04.2017","31.03.","03.04.",2017-04-03,"03.04.2017",2017,"linke_pds",9,NA,NA,NA,0.7
2017-04-03,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","03.04.2017","31.03.","03.04.",2017-04-03,"03.04.2017",2017,"spd",32.5,NA,NA,NA,0.5
2017-04-04,2504,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","04.04.2017","27.03.","31.03.",2017-03-31,"31.03.2017",2017,"afd",8,0.00542152849720504,6.9,9.1,-1.5
2017-04-04,2504,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","04.04.2017","27.03.","31.03.",2017-03-31,"31.03.2017",2017,"cdu_csu",36,0.00959232920372918,34.1,37.9,2
2017-04-04,2504,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","04.04.2017","27.03.","31.03.",2017-03-31,"31.03.2017",2017,"fdp",5,0.00435541600335724,4.1,5.9,-0.3
2017-04-04,2504,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","04.04.2017","27.03.","31.03.",2017-03-31,"31.03.2017",2017,"gruene",7,0.00509886286890622,6,8,-0.4
2017-04-04,2504,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","04.04.2017","27.03.","31.03.",2017-03-31,"31.03.2017",2017,"linke_pds",9,0.00571906178770866,7.9,10.1,0
2017-04-04,2504,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","04.04.2017","27.03.","31.03.",2017-03-31,"31.03.2017",2017,"spd",29,0.00906798955142717,27.2,30.8,-1.6
2017-04-01,2416,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","01.04.2017","23.03.","29.03.",2017-03-29,"29.03.2017",2017,"afd",8,0.00551938186384494,6.9,9.1,-0.7
2017-04-01,2416,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","01.04.2017","23.03.","29.03.",2017-03-29,"29.03.2017",2017,"cdu_csu",33,0.00956634207324052,31.1,34.9,0
2017-04-01,2416,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","01.04.2017","23.03.","29.03.",2017-03-29,"29.03.2017",2017,"fdp",6,0.00483160127296605,5.1,6.9,-0.8
2017-04-01,2416,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","01.04.2017","23.03.","29.03.",2017-03-29,"29.03.2017",2017,"gruene",7,0.0051908924317896,6,8,0.5
2017-04-01,2416,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","01.04.2017","23.03.","29.03.",2017-03-29,"29.03.2017",2017,"linke_pds",8,0.00551938186384494,6.9,9.1,0.1
2017-04-01,2416,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","01.04.2017","23.03.","29.03.",2017-03-29,"29.03.2017",2017,"spd",33,0.00956634207324052,31.1,34.9,0.8
